j,l,trajectory,M,S,D
1,1,"1 2 3 3 -1 -3 -2 4 4 -3 4 4",48,1,-256
2,1,"1 2 3 4 2 -3 4 -1 -2 4 -2 4",48,1,0
3,1,"1 2 1 2 4 -1 -1 -2 4 4 4 -2",24,1,-256
4,1,"1 2 3 2 -1 4 -2 -2 4 -3 4 4",48,1,0
5,1,"1 4 2 -1 4 -2 -2 4 4 4 2 -4",24,1,256
6,1,"1 2 4 -1 3 4 -3 -2 3 4 -3 4",48,1,64
7,1,"1 2 -1 -2 4 4 4 2 -1 4 -2 1",24,1,-256
8,1,"1 2 3 4 -3 -1 3 4 4 4 -2 -3",48,1,128
9,1,"1 2 -1 4 2 4 4 4 -2 -4 -2 4",24,1,0
10,1,"1 2 -4 -2 4 4 -1 4 -2 4 2 4",24,1,-128
11,1,"1 2 -4 2 -1 4 4 -2 4 4 4 -2",24,1,-256
12,1,"1 2 -1 -2 1 4 2 -1 4 4 -2 4",24,1,-128
13,1,"1 2 4 3 -2 -3 4 4 -3 4 -1 3",48,1,128
14,1,"1 2 4 -1 -2 -4 -2 4 4 4 4 2",24,1,256
15,1,"1 2 4 4 3 4 -3 -4 -2 4 -1 4",48,1,0
16,1,"1 2 2 -1 -2 4 -2 4 -2 4 2 4",24,1,-128
17,1,"1 2 4 3 4 -2 -3 -3 -1 4 3 4",48,1,128
18,1,"1 2 2 4 -1 4 4 4 4 -2 -4 -2",24,1,0
19,1,"1 2 4 -1 -2 4 4 4 4 -2 -4 2",24,1,-256
20,1,"1 4 2 -1 4 2 -4 -2 4 4 -2 4",24,1,-128
21,1,"1 2 -1 2 4 3 4 -2 -3 -2 4 4",48,1,128
22,1,"1 2 4 3 4 -1 -3 4 -2 -3 4 3",48,1,128
23,1,"1 2 2 -1 2 4 -2 4 -2 4 -2 4",24,1,128
24,1,"1 2 4 3 -4 -2 4 -3 4 4 -1 4",48,1,0
25,1,"1 4 2 4 4 2 4 -1 4 -2 -4 -2",24,1,128
26,1,"1 2 4 4 3 -2 4 -3 4 -3 -1 3",48,1,0
27,1,"1 2 3 -2 -3 4 2 4 -2 -1 4 4",48,1,-128
28,1,"1 2 4 4 4 -2 -4 -1 4 -2 4 2",24,1,0
29,1,"1 4 2 4 4 -1 -4 -4 -2 4 4 4",24,1,0
