j,trajectory,M,S,D
1,"1 2 2 2 -1 -2 -2 -2",12,1,-128
2,"1 2 1 2 -1 -2 -1 -2",12,1,-32
3,"1 2 1 -2 -1 2 -1 -2",12,1,32
4,"1 2 -1 -2 1 2 -1 -2",6,2,32
5,"1 2 1 2 -1 -1 -2 -2",24,1,-64
6,"1 2 -1 -1 2 1 -2 -2",12,1,64
7,"1 2 2 -1 -1 -2 -2 1",6,1,-128
8,"1 2 3 3 -1 -2 -3 -3",48,1,-64
9,"1 2 3 -1 -3 -3 -2 3",96,1,-32
10,"1 2 3 -2 3 -1 -3 -3",192,1,-32
11,"1 2 3 -1 3 -2 -3 -3",192,1,-32
12,"1 2 3 -2 -3 -3 -1 3",96,1,32
13,"1 2 3 3 -1 -3 -3 -2",96,1,-64
14,"1 2 3 -2 -3 2 -1 -2",48,1,32
15,"1 2 3 3 -2 -1 -3 -3",48,1,-64
16,"1 2 3 -2 -1 2 -3 -2",24,1,-32
17,"1 2 3 2 -3 -2 -1 -2",96,1,0
18,"1 2 3 2 -1 -2 -3 -2",48,1,-32
19,"1 2 3 4 -1 -3 -4 -2",192,1,-16
20,"1 2 3 4 -1 -4 -3 -2",96,1,-32
21,"1 2 3 4 -2 -1 -4 -3",48,1,-32
22,"1 2 3 4 -1 -2 -3 -4",24,1,-16
23,"1 2 3 4 -1 -2 -4 -3",96,1,-32
24,"1 2 3 4 -3 -4 -1 -2",96,1,16
25,"1 2 3 4 -2 -4 -1 -3",192,1,-16
